municipality_code,poi_count
43047,1
50551,1
50539,1
50493,1
50484,1
50481,1
50480,1
50471,1
50463,1
50447,1
50574,1
50436,1
50422,1
50417,1
50412,1
50408,1
50342,1
50332,1
50296,1
50288,1
50283,1
50426,1
50584,1
50585,1
50598,1
51269,1
51266,1
51242,1
51217,1
51185,1
51162,1
51152,1
51135,1
51074,1
51055,1
51053,1
51047,1
51036,1
51016,1
51014,1
51012,1
51009,1
51002,1
50641,1
50616,1
50599,1
50282,1
50267,1
50265,1
50259,1
49353,1
49343,1
49333,1
49269,1
49259,1
49248,1
49235,1
49224,1
49223,1
49217,1
49214,1
49201,1
49183,1
49180,1
49155,1
49127,1
49110,1
49109,1
49086,1
49082,1
49068,1
49355,1
51309,1
49358,1
49368,1
50252,1
50222,1
50197,1
50176,1
50165,1
50164,1
50151,1
50143,1
50139,1
50117,1
50115,1
50110,1
50102,1
50098,1
50081,1
50077,1
50076,1
50033,1
50030,1
50015,1
50002,1
49364,1
49063,1
51318,1
51352,1
53255,1
53229,1
53211,1
53201,1
53185,1
53175,1
53172,1
53161,1
53153,1
53257,1
53133,1
53119,1
53107,1
53089,1
53084,1
53072,1
53034,1
53033,1
53022,1
53016,1
53125,1
53258,1
53262,1
54022,1
54329,1
54327,1
54318,1
54275,1
54257,1
54250,1
54232,1
54186,1
54165,1
54160,1
54150,1
54145,1
54128,1
54106,1
54099,1
54090,1
54054,1
54042,1
54040,1
54039,1
54024,1
53013,1
53005,1
52550,1
52547,1
52062,1
52045,1
52028,1
52008,1
51660,1
51621,1
51569,1
51559,1
51535,1
51495,1
51492,1
51486,1
51474,1
51449,1
51428,1
51417,1
51402,1
51390,1
51380,1
51373,1
51357,1
52127,1
51334,1
52155,1
52177,1
52525,1
52520,1
52512,1
52455,1
52449,1
52416,1
52411,1
52405,1
52380,1
52364,1
52331,1
52305,1
52294,1
52250,1
52246,1
52233,1
52211,1
52200,1
52185,1
52183,1
52178,1
52170,1
49061,1
49029,1
49022,1
46137,1
46129,1
46126,1
46109,1
46108,1
46107,1
46101,1
46098,1
46094,1
46155,1
46088,1
46080,1
46074,1
46073,1
46072,1
46068,1
46066,1
46061,1
46059,1
46055,1
46086,1
46159,1
46163,1
46170,1
46263,1
46262,1
46257,1
46253,1
46239,1
46237,1
46236,1
46225,1
46217,1
46213,1
46212,1
46207,1
46199,1
46192,1
46191,1
46184,1
46180,1
46179,1
46177,1
46176,1
46175,1
46047,1
46037,1
46036,1
46035,1
45213,1
45203,1
45200,1
45191,1
45175,1
