municipality_code,avg_net_salary,year
01004,26471.026726588807,2019-01-01
01007,26341.353419359526,2019-01-01
01014,25897.497841801767,2019-01-01
01024,25695.240340575077,2019-01-01
01025,26054.71232333715,2019-01-01
01027,28561.821832398946,2019-01-01
01031,24772.71295074376,2019-01-01
01032,27714.73178499426,2019-01-01
01033,23285.766129047788,2019-01-01
01034,23816.889147742782,2019-01-01
01043,35351.68413884325,2019-01-01
01049,31323.001431410234,2019-01-01
01053,23978.65866849489,2019-01-01
01071,26429.83419197976,2019-01-01
01072,28803.456637279134,2019-01-01
01074,27833.774653703927,2019-01-01
01089,25964.23876504931,2019-01-01
01093,25929.281812496425,2019-01-01
01109,24111.26089957021,2019-01-01
01130,24669.614520278363,2019-01-01
01135,28087.08660590979,2019-01-01
01138,24541.21981004567,2019-01-01
01142,28609.364944664507,2019-01-01
01143,30341.69759057018,2019-01-01
01157,30643.10229918028,2019-01-01
01159,24909.797533542558,2019-01-01
01160,23076.613032737987,2019-01-01
01163,24127.56100629984,2019-01-01
01166,28725.054615165267,2019-01-01
01173,24452.967970760787,2019-01-01
01185,22911.3029807844,2019-01-01
01192,25849.40840400537,2019-01-01
01194,26877.612276922133,2019-01-01
01199,25305.338377045267,2019-01-01
01202,26195.29691962565,2019-01-01
01224,26112.018447691542,2019-01-01
01232,25096.659640229267,2019-01-01
01238,32311.22417514592,2019-01-01
01244,27900.66226974063,2019-01-01
01246,24715.312869098485,2019-01-01
01248,31269.932563342743,2019-01-01
01249,29826.545563987358,2019-01-01
01254,30549.15008263045,2019-01-01
01262,27605.530168569258,2019-01-01
01263,29223.83211586876,2019-01-01
01265,24254.345346894388,2019-01-01
01266,23928.21855002288,2019-01-01
01269,22916.99923780321,2019-01-01
01275,41221.314303889536,2019-01-01
01281,24300.547908240602,2019-01-01
01283,23274.938444946918,2019-01-01
01288,25621.259236898597,2019-01-01
01289,25968.28015369461,2019-01-01
01301,25954.98806789689,2019-01-01
01304,24927.457903509614,2019-01-01
01305,22647.77311255094,2019-01-01
01313,28371.562558974176,2019-01-01
01320,26759.75860638825,2019-01-01
01322,33840.50064502725,2019-01-01
01333,28854.23429766314,2019-01-01
01344,26823.85637520644,2019-01-01
01345,25380.051481183487,2019-01-01
01348,26476.309392342988,2019-01-01
01350,25030.542986494864,2019-01-01
01354,24251.771064387784,2019-01-01
01376,26735.860794218766,2019-01-01
01378,30345.20546370532,2019-01-01
01384,22511.74862084567,2019-01-01
01399,26030.46031334731,2019-01-01
01401,27623.632486282204,2019-01-01
01419,26033.68027072631,2019-01-01
01426,24805.38822055731,2019-01-01
01427,28315.67707625656,2019-01-01
01435,22849.695352262872,2019-01-01
01443,25631.722286024586,2019-01-01
01450,29338.04297799284,2019-01-01
01451,26330.799714062487,2019-01-01
01457,23987.72850391299,2019-01-01
02018,23532.42086575835,2019-01-01
02028,24043.147893818146,2019-01-01
02059,22608.96629430093,2019-01-01
02064,22906.35232160439,2019-01-01
02095,21447.05950384416,2019-01-01
02110,23770.941445107765,2019-01-01
02163,24265.38242687523,2019-01-01
02168,23958.590050792853,2019-01-01
02173,23322.242167026532,2019-01-01
02243,24209.42655223256,2019-01-01
02290,26201.345817929458,2019-01-01
02305,23796.150322139292,2019-01-01
02307,25607.33272298347,2019-01-01
02334,22384.892576830054,2019-01-01
02340,23718.6247964524,2019-01-01
02360,26545.31562657684,2019-01-01
02361,22698.43678364317,2019-01-01
02381,21907.087543251087,2019-01-01
02408,22079.441976961094,2019-01-01
02468,24353.442835316317,2019-01-01
02543,23931.807756815688,2019-01-01
02555,24870.515441569067,2019-01-01
02558,23818.755332676847,2019-01-01
02680,24808.379395410342,2019-01-01
02684,21218.60102516573,2019-01-01
02691,23925.163549924728,2019-01-01
02719,24952.50035824018,2019-01-01
02720,20877.241295922468,2019-01-01
02722,24057.275430632988,2019-01-01
02738,22547.44014272441,2019-01-01
02758,24187.78252796688,2019-01-01
02789,24880.136953695106,2019-01-01
02805,23330.35366560826,2019-01-01
02810,25374.816500626137,2019-01-01
03001,25086.970142865543,2019-01-01
03013,24843.49544816175,2019-01-01
03023,27086.798199927467,2019-01-01
03036,23781.728327790523,2019-01-01
03082,23186.205217324063,2019-01-01
03084,22827.056665088312,2019-01-01
03094,27174.51025060517,2019-01-01
03095,23691.117190198456,2019-01-01
03098,23759.72227564117,2019-01-01
03101,24071.15302642105,2019-01-01
03102,23166.576100809598,2019-01-01
03118,22889.269136942574,2019-01-01
03128,23864.58834315956,2019-01-01
03138,21385.967342730717,2019-01-01
03185,22740.852128118488,2019-01-01
03190,22407.60386431822,2019-01-01
03195,28575.708953580703,2019-01-01
03211,25379.70801505922,2019-01-01
03236,22921.54310072736,2019-01-01
03254,23677.77765750215,2019-01-01
