,municipality_code,avg_net_salary,year
0,01004,26471.026726588807,1970-01-01
1,01007,26341.353419359526,1970-01-01
2,01014,25897.497841801767,1970-01-01
3,01024,25695.240340575077,1970-01-01
4,01025,26054.71232333715,1970-01-01
5,01027,28561.821832398946,1970-01-01
6,01031,24772.71295074376,1970-01-01
7,01032,27714.73178499426,1970-01-01
8,01033,23285.766129047788,1970-01-01
9,01034,23816.889147742782,1970-01-01
10,01043,35351.68413884325,1970-01-01
11,01049,31323.001431410234,1970-01-01
12,01053,23978.65866849489,1970-01-01
13,01071,26429.83419197976,1970-01-01
14,01072,28803.456637279134,1970-01-01
15,01074,27833.774653703927,1970-01-01
16,01089,25964.23876504931,1970-01-01
17,01093,25929.281812496425,1970-01-01
18,01109,24111.26089957021,1970-01-01
19,01130,24669.614520278363,1970-01-01
20,01135,28087.08660590979,1970-01-01
21,01138,24541.21981004567,1970-01-01
22,01142,28609.364944664507,1970-01-01
23,01143,30341.69759057018,1970-01-01
24,01157,30643.10229918028,1970-01-01
25,01159,24909.797533542558,1970-01-01
26,01160,23076.613032737987,1970-01-01
27,01163,24127.56100629984,1970-01-01
28,01166,28725.054615165267,1970-01-01
29,01173,24452.967970760787,1970-01-01
30,01185,22911.3029807844,1970-01-01
31,01192,25849.40840400537,1970-01-01
32,01194,26877.612276922133,1970-01-01
33,01199,25305.338377045267,1970-01-01
34,01202,26195.29691962565,1970-01-01
35,01224,26112.018447691542,1970-01-01
36,01232,25096.659640229267,1970-01-01
37,01238,32311.22417514592,1970-01-01
38,01244,27900.66226974063,1970-01-01
39,01246,24715.312869098485,1970-01-01
40,01248,31269.932563342743,1970-01-01
41,01249,29826.545563987358,1970-01-01
42,01254,30549.15008263045,1970-01-01
43,01262,27605.530168569258,1970-01-01
44,01263,29223.83211586876,1970-01-01
45,01265,24254.345346894388,1970-01-01
46,01266,23928.21855002288,1970-01-01
47,01269,22916.99923780321,1970-01-01
48,01275,41221.314303889536,1970-01-01
49,01281,24300.547908240602,1970-01-01
50,01283,23274.938444946918,1970-01-01
51,01288,25621.259236898597,1970-01-01
52,01289,25968.28015369461,1970-01-01
53,01301,25954.98806789689,1970-01-01
54,01304,24927.457903509614,1970-01-01
55,01305,22647.77311255094,1970-01-01
56,01313,28371.562558974176,1970-01-01
57,01320,26759.75860638825,1970-01-01
58,01322,33840.50064502725,1970-01-01
59,01333,28854.23429766314,1970-01-01
60,01344,26823.85637520644,1970-01-01
61,01345,25380.051481183487,1970-01-01
62,01348,26476.309392342988,1970-01-01
63,01350,25030.542986494864,1970-01-01
64,01354,24251.771064387784,1970-01-01
65,01376,26735.860794218766,1970-01-01
66,01378,30345.20546370532,1970-01-01
67,01384,22511.74862084567,1970-01-01
68,01399,26030.46031334731,1970-01-01
69,01401,27623.632486282204,1970-01-01
70,01419,26033.68027072631,1970-01-01
71,01426,24805.38822055731,1970-01-01
72,01427,28315.67707625656,1970-01-01
73,01435,22849.695352262872,1970-01-01
74,01443,25631.722286024586,1970-01-01
75,01450,29338.04297799284,1970-01-01
76,01451,26330.799714062487,1970-01-01
77,01457,23987.72850391299,1970-01-01
78,02018,23532.42086575835,1970-01-01
79,02028,24043.147893818146,1970-01-01
80,02059,22608.96629430093,1970-01-01
81,02064,22906.35232160439,1970-01-01
82,02095,21447.05950384416,1970-01-01
83,02110,23770.941445107765,1970-01-01
84,02163,24265.38242687523,1970-01-01
85,02168,23958.590050792853,1970-01-01
86,02173,23322.242167026532,1970-01-01
87,02243,24209.42655223256,1970-01-01
88,02290,26201.345817929458,1970-01-01
89,02305,23796.150322139292,1970-01-01
90,02307,25607.33272298347,1970-01-01
91,02334,22384.892576830054,1970-01-01
92,02340,23718.6247964524,1970-01-01
93,02360,26545.31562657684,1970-01-01
94,02361,22698.43678364317,1970-01-01
95,02381,21907.087543251087,1970-01-01
96,02408,22079.441976961094,1970-01-01
97,02468,24353.442835316317,1970-01-01
98,02543,23931.807756815688,1970-01-01
99,02555,24870.515441569067,1970-01-01
100,02558,23818.755332676847,1970-01-01
101,02680,24808.379395410342,1970-01-01
102,02684,21218.60102516573,1970-01-01
103,02691,23925.163549924728,1970-01-01
104,02719,24952.50035824018,1970-01-01
105,02720,20877.241295922468,1970-01-01
106,02722,24057.275430632988,1970-01-01
107,02738,22547.44014272441,1970-01-01
108,02758,24187.78252796688,1970-01-01
109,02789,24880.136953695106,1970-01-01
110,02805,23330.35366560826,1970-01-01
111,02810,25374.816500626137,1970-01-01
112,03001,25086.970142865543,1970-01-01
113,03013,24843.49544816175,1970-01-01
114,03023,27086.798199927467,1970-01-01
115,03036,23781.728327790523,1970-01-01
116,03082,23186.205217324063,1970-01-01
117,03084,22827.056665088312,1970-01-01
118,03094,27174.51025060517,1970-01-01
119,03095,23691.117190198456,1970-01-01
120,03098,23759.72227564117,1970-01-01
121,03101,24071.15302642105,1970-01-01
122,03102,23166.576100809598,1970-01-01
123,03118,22889.269136942574,1970-01-01
124,03128,23864.58834315956,1970-01-01
125,03138,21385.967342730717,1970-01-01
126,03185,22740.852128118488,1970-01-01
127,03190,22407.60386431822,1970-01-01
128,03195,28575.708953580703,1970-01-01
129,03211,25379.70801505922,1970-01-01
130,03236,22921.54310072736,1970-01-01
131,03254,23677.77765750215,1970-01-01
132,03262,25458.990737716544,1970-01-01
133,03264,23829.990947025537,1970-01-01
134,03298,22303.30357060769,1970-01-01
135,03304,27600.42583276324,1970-01-01
136,03310,24373.49856127477,1970-01-01
137,03321,24702.527922163725,1970-01-01
138,04019,22155.711804846982,1970-01-01
139,04049,24789.088940482598,1970-01-01
140,04070,22175.450410986603,1970-01-01
141,04088,23764.631251547555,1970-01-01
142,04094,24624.359122114933,1970-01-01
143,04112,26222.4813306871,1970-01-01
144,04116,23726.94247558726,1970-01-01
145,04143,26517.181418295753,1970-01-01
146,04149,24801.282062181348,1970-01-01
147,04152,32800.87315052003,1970-01-01
148,04197,24544.684454447248,1970-01-01
149,04209,24538.73571068447,1970-01-01
150,04230,24733.061352202843,1970-01-01
151,04242,26154.589668740253,1970-01-01
152,04245,25438.99418412661,1970-01-01
153,05006,23840.477245348946,1970-01-01
154,05017,24198.746675828268,1970-01-01
155,05023,23692.118389936364,1970-01-01
156,05040,24139.691114837482,1970-01-01
157,05046,23078.701773011613,1970-01-01
158,05061,23298.82760034812,1970-01-01
159,05065,22755.145556018146,1970-01-01
160,05070,22013.912875111982,1970-01-01
161,05132,24205.837695266142,1970-01-01
162,05170,21880.10600185974,1970-01-01
163,05179,22845.38619111148,1970-01-01
164,06004,30073.77307999483,1970-01-01
165,06006,31132.51234168821,1970-01-01
166,06007,31123.525784157897,1970-01-01
167,06010,33404.125558954154,1970-01-01
168,06011,26446.060578165776,1970-01-01
169,06012,24651.02699599558,1970-01-01
170,06018,40798.56599354353,1970-01-01
171,06023,23183.880589580614,1970-01-01
172,06027,27964.47404028806,1970-01-01
173,06029,26269.00033070404,1970-01-01
174,06030,26474.30635672968,1970-01-01
175,06033,26048.923741312843,1970-01-01
176,06038,36599.856375049974,1970-01-01
177,06044,34678.17459719376,1970-01-01
178,06046,30894.585512622645,1970-01-01
179,06048,26083.43106469992,1970-01-01
180,06054,24081.69920328026,1970-01-01
181,06057,24235.70539571709,1970-01-01
182,06059,30531.08868312868,1970-01-01
183,06064,29787.69550026925,1970-01-01
184,06065,33510.390378926364,1970-01-01
185,06069,28510.905698174534,1970-01-01
186,06075,27499.924065905387,1970-01-01
187,06079,28309.959337869663,1970-01-01
188,06083,23343.925450374067,1970-01-01
189,06084,35932.367913367016,1970-01-01
190,06085,33865.49229192893,1970-01-01
191,06088,26015.300538037533,1970-01-01
192,06089,44449.66561873818,1970-01-01
193,06090,28331.554188646984,1970-01-01
194,06091,25248.38227653869,1970-01-01
195,06095,30518.734455701488,1970-01-01
