municipality_code,city_name,city_name_normalized,municipality_type,latitude,longitude,department_code,code_ administrative_services,department_name
01005,Ambérieux-en-Dombes,AMBERIEUX EN DOMBES,municipality,45.99617999,4.912272508,01,200042497.0,Ain
01021,Ars-sur-Formans,ARS SUR FORMANS,municipality,45.9934611,4.821996495,01,200042497.0,Ain
01030,Beauregard,BEAUREGARD,municipality,46.00085802,4.756006647,01,200042497.0,Ain
01105,Civrieux,CIVRIEUX,municipality,45.92246745,4.886337869,01,200042497.0,Ain
01157,Fareins,FAREINS,municipality,46.02099797,4.76200809,01,200042497.0,Ain
01166,Frans,FRANS,municipality,45.99390651,4.780331969,01,200042497.0,Ain
01238,Massieux,MASSIEUX,municipality,45.90940168,4.827796601,01,200042497.0,Ain
01250,Misérieux,MISERIEUX,municipality,45.97623253,4.810284717,01,200042497.0,Ain
01285,Parcieux,PARCIEUX,municipality,45.91842679,4.827474234,01,200042497.0,Ain
01318,Rancé,RANCE,municipality,45.96739052,4.86343026,01,200042497.0,Ain
01322,Reyrieux,REYRIEUX,municipality,45.93676524,4.82840396,01,200042497.0,Ain
01339,Saint-Bernard,SAINT BERNARD,municipality,45.94938306,4.742766285,01,200042497.0,Ain
01347,Saint-Didier-de-Formans,SAINT DIDIER DE FORMANS,municipality,45.95649261,4.777667649,01,200042497.0,Ain
01353,Sainte-Euphémie,SAINTE EUPHEMIE,municipality,45.96697983,4.794781892,01,200042497.0,Ain
01362,Saint-Jean-de-Thurigneux,SAINT JEAN DE THURIGNEUX,municipality,45.95984243,4.899364107,01,200042497.0,Ain
01398,Savigneux,SAVIGNEUX,municipality,45.99734683,4.857620091,01,200042497.0,Ain
01423,Toussieux,TOUSSIEUX,municipality,45.95989829,4.828986106,01,200042497.0,Ain
01427,Trévoux,TREVOUX,municipality,45.94067166,4.771441501,01,200042497.0,Ain
01446,Villeneuve,VILLENEUVE,municipality,46.03190488,4.851825261,01,200042497.0,Ain
01027,Balan,BALAN,municipality,45.83112265,5.107800192,01,240100610.0,Ain
01032,Béligneux,BELIGNEUX,municipality,45.85914648,5.139895059,01,240100610.0,Ain
01049,La Boisse,BOISSE,municipality,45.84462135,5.027832241,01,240100610.0,Ain
01062,Bressolles,BRESSOLLES,municipality,45.86942306,5.10094289,01,240100610.0,Ain
01142,Dagneux,DAGNEUX,municipality,45.85316169,5.072891668,01,240100610.0,Ain
01262,Montluel,MONTLUEL,municipality,45.89090062,5.019875662,01,240100610.0,Ain
01276,Niévroz,NIEVROZ,municipality,45.82229411,5.059496292,01,240100610.0,Ain
01297,Pizay,PIZAY,municipality,45.89285096,5.08915466,01,240100610.0,Ain
01342,Sainte-Croix,SAINTE CROIX,municipality,45.89552248,5.049355362,01,240100610.0,Ain
01071,Cessy,CESSY,municipality,46.31568938,6.077984436,01,240100750.0,Ain
01078,Challex,CHALLEX,municipality,46.17683583,5.971150929,01,240100750.0,Ain
01103,Chevry,CHEVRY,municipality,46.28315294,6.047079415,01,240100750.0,Ain
01104,Chézery-Forens,CHEZERY FORENS,municipality,46.22257337,5.872481053,01,240100750.0,Ain
01109,Collonges,COLLONGES,municipality,46.14192279,5.900402567,01,240100750.0,Ain
01135,Crozet,CROZET,municipality,46.29156597,5.995104171,01,240100750.0,Ain
01143,Divonne-les-Bains,DIVONNE LES BAINS,municipality,46.37563335,6.115864761,01,240100750.0,Ain
01153,Échenevex,ECHENEVEX,municipality,46.31608452,6.01926188,01,240100750.0,Ain
01158,Farges,FARGES,municipality,46.16623046,5.900194772,01,240100750.0,Ain
01160,Ferney-Voltaire,FERNEY VOLTAIRE,municipality,46.25197892,6.108264038,01,240100750.0,Ain
01173,Gex,GEX,municipality,46.34718917,6.046505556,01,240100750.0,Ain
01180,Grilly,GRILLY,municipality,46.33188107,6.11366768,01,240100750.0,Ain
01209,Léaz,LEAZ,municipality,46.1086518,5.876490179,01,240100750.0,Ain
01210,Lélex,LELEX,municipality,46.28550109,5.929277138,01,240100750.0,Ain
01247,Mijoux,MIJOUX,municipality,46.36224517,6.009026319,01,240100750.0,Ain
01281,Ornex,ORNEX,municipality,46.27745575,6.094547236,01,240100750.0,Ain
01288,Péron,PERON,municipality,46.19135542,5.919687512,01,240100750.0,Ain
01308,Pougny,POUGNY,municipality,46.14509147,5.951004793,01,240100750.0,Ain
01313,Prévessin-Moëns,PREVESSIN MOENS,municipality,46.25827228,6.072232519,01,240100750.0,Ain
01354,Saint-Genis-Pouilly,SAINT GENIS POUILLY,municipality,46.25453933,6.036290735,01,240100750.0,Ain
01360,Saint-Jean-de-Gonville,SAINT JEAN DE GONVILLE,municipality,46.21785857,5.942030938,01,240100750.0,Ain
01397,Sauverny,SAUVERNY,municipality,46.31269082,6.110438364,01,240100750.0,Ain
01399,Ségny,SEGNY,municipality,46.29359284,6.072877438,01,240100750.0,Ain
01401,Sergy,SERGY,municipality,46.2626243,5.989145532,01,240100750.0,Ain
01419,Thoiry,THOIRY,municipality,46.24354759,5.96506298,01,240100750.0,Ain
01435,Versonnex,VERSONNEX,municipality,46.29976314,6.100579522,01,240100750.0,Ain
01436,Vesancy,VESANCY,municipality,46.36107681,6.084706655,01,240100750.0,Ain
01194,Jassans-Riottier,JASSANS RIOTTIER,municipality,45.97772391,4.759846379,01,200040590.0,Ain
01002,L'Abergement-de-Varey,ABERGEMENT DE VAREY,municipality,46.00918788,5.428016964,01,240100883.0,Ain
01004,Ambérieu-en-Bugey,AMBERIEU EN BUGEY,municipality,45.96084751,5.372925778,01,240100883.0,Ain
01007,Ambronay,AMBRONAY,municipality,46.00559138,5.357606607,01,240100883.0,Ain
01008,Ambutrix,AMBUTRIX,municipality,45.93671345,5.332809235,01,240100883.0,Ain
01013,Arandas,ARANDAS,municipality,45.89081553,5.498704391,01,240100883.0,Ain
01017,Argis,ARGIS,municipality,45.93371821,5.482511003,01,240100883.0,Ain
