municipality_code,city_name,operation_cost
01004,Ambérieu-en-Bugey,251529.61
02142,Castres,5878227.0
02168,Château-Thierry,530884.0
02372,Hartennes-et-Taux,970368.95
02422,Lesquielles-Saint-Germain,5885000.0
02505,Montfaucon,588000.0
02566,Ognes,6651110.0
02684,Saint-Michel,630459.45
02821,Vivaise,5507000.0
03143,Lételon,4971531.0
03310,Vichy,9499042.0
04174,Saint-Benoît,14292981.0
04194,Saint-Pierre,1628779.45
05107,Puy-Saint-André,836430.0
05147,Saint-Julien-en-Champsaur,111533.0
06069,Grasse,549045.0
06088,Nice,8749247.0
06154,Valderoure,145910.0
07156,Meyras,400442.0
07241,Saint-Germain,4860000.0
08225,Herpy-l'Arlésienne,5923720.0
08311,Mouzon,146500.0
08357,Remilly-Aillicourt,4835001.0
08380,Saint-Fergeux,7073933.0
08390,Sainte-Marie,287442.47
08401,Saulces-Champenoises,183016.0
08406,Savigny-sur-Aisne,2726360.0
08409,Sedan,5362191.0
09122,Foix,317300.0
09148,Lacave,4339850.0
09160,Lavelanet,105000.0
09194,Mirepoix,344979.0
09271,Saint-Michel,630459.45
09324,Varilhes,1812300.0
09328,Verdun,5467059.0
10014,Assencières,449951.0
10023,Avon-la-Pèze,5548400.0
10075,Champfleury,5365390.0
10123,Dienville,9625.0
10209,Lusigny-sur-Barse,6241884.0
10325,Rosières-près-Troyes,2458075.0
10340,Saint-Germain,4860000.0
10362,Sainte-Savine,12398830.0
10429,Villette-sur-Aube,105961.26
11255,Montredon-des-Corbières,1195960.0
11262,Narbonne,2034000.0
11267,Ornaisons,990553.59
11333,Saint-Benoît,14292981.0
11339,Saint-Denis,752268.0
12033,Bozouls,14285984.0
12065,Centrès,3178845.0
12101,Flagnac,72600.0
12119,Laguiole,105000.0
12202,Rodez,432331.0
12207,Rullac-Saint-Cirq,274370.14
13001,Aix-en-Provence,1018655.0
13004,Arles,57000.0
13015,Bouc-Bel-Air,665000.0
13039,Fos-sur-Mer,3500000.0
13041,Gardanne,145700.0
13055,Marseille,5554935.0
14100,Bretteville-sur-Laize,896720.0
14118,Caen,2250000.0
14167,Colombelles,42450.0
14341,Ifs,310970.0
14357,Terres de Druance,745146.0
14735,Vendeuvre,11400000.0
15014,Aurillac,3486441.0
15196,Saint-Mamet-la-Salvetat,382930.0
15198,Sainte-Marie,287442.47
15206,Saint-Pierre,1628779.45
16015,Angoulême,1055696.63
16239,Mouzon,146500.0
16341,Saint-Michel,630459.45
16392,Valence,13805570.0
17028,Aytré,2487000.0
17283,Pons,1000300.0
17331,Saint-Genis-de-Saintonge,93315.75
17385,Saint-Pierre-d'Oléron,836576.0
17434,Surgères,173542.0
18033,Bourges,3801013.0
18087,Dun-sur-Auron,3550066.0
18144,Menetou-Râtel,2373392.0
18148,Méreau,5780736.0
18173,Osmery,101158.2
18211,Saint-Georges-sur-Moulon,2796955.0
18278,Vesdun,1911489.0
19023,Beynat,550412.0
19061,Cornil,491239.73
19073,Égletons,1714063.0
19153,Objat,1139114.0
19235,Saint-Paul,737219.0
19272,Tulle,384343.0
21027,Asnières-lès-Dijon,460108.0
21147,Charny,5370511.0
21231,Dijon,5095200.0
21588,Saussey,2397983.0
22028,Camlez,4430000.0
22043,Coëtlogon,7698.0
22048,Corseul,3611707.07
22136,Loudéac,2658108.73
22171,Plaintel,2214672.0
22176,Plédran,12440.0
22220,Plouguernével,1283771.16
22233,Plourivo,1861000.0
22316,Saint-Mayeux,1450197.69
22371,Trémorel,4186277.44
24037,Bergerac,1034484.0
24311,Nontron,518776.5
24322,Périgueux,1820341.0
24352,Ribérac,409975.5
24372,Saint-Astier,303336.0
24417,Saint-Germain-des-Prés,5650922.0
24520,Sarlat-la-Canéda,998600.0
24551,Thiviers,794392.85
25031,Audincourt,36590.0
25056,Besançon,8317982.61
25204,Doubs,2396764.0
25222,Étalans,10406.0
25395,Montfaucon,588000.0
25429,Novillars,2383712.0
25523,Sainte-Marie,287442.47
25588,Vaucluse,84496.43
25620,Ville-du-Pont,7159.38
26116,Donzère,131094.0
26160,Laveyron,57204124.0
26220,Nyons,62630.82
26347,Tain-l'Hermitage,191125.0
26362,Valence,13805570.0
27226,Étrépagny,10737040.0
27552,Saint-Jean-du-Thenney,2147220.0
28085,Chartres,26341.95
29019,Brest,4973000.0
29022,Camaret-sur-Mer,29880.0
29028,Cléden-Cap-Sizun,1110231.0
29039,Concarneau,42000.0
29042,Crozon,347309.38
29075,Guipavas,1617092.0
29098,Lampaul-Plouarzel,1500580.0
29151,Morlaix,1387969.0
29162,Pleyben,179633.0
29174,Plonéour-Lanvern,16746.0
29179,Ploudaniel,2646943.2
29212,Plouzané,2456045.58
2A004,Ajaccio,1066041.0
2A017,Appietto,9630.0
2A041,Bonifacio,5535.0
2A092,Conca,99123.34
2A247,Porto-Vecchio,253041.0
2A348,Vico,105000.0
2A349,Viggianello,1619383.0
2A362,Zonza,720570.0
2B010,Algajola,17420.0
2B033,Bastia,5410.0
2B042,Borgo,58450.0
2B050,Calvi,32000.0
2B087,Cervione,63460.0
2B096,Corte,150190.0
2B143,Linguizzetta,9000.0
2B148,Lucciana,59620.0
2B242,Poggio-Mezzana,14400.0
2B298,Saint-Florent,435050.0
30178,Montfaucon,588000.0
30247,Saint-Denis,752268.0
30258,Saint-Gilles,3898872.0
31033,Auterive,2361220.0
31069,Blagnac,21563900.0
31107,Carbonne,345291.18
